,Unnamed: 0,rep,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
45,245,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,5.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.431724596989074,0.1679454021566907,0.3361125836055596,0.0632273628485928,"['outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20']",[]
46,246,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,6.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.405411218580198,0.1728225682947569,0.249511787700112,0.2282316399336738,"['outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']","['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']"
47,247,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,7.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.2545932849423046,0.1638052353477461,0.2758403289380275,0.0982797717886358,"['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']",[]
48,248,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,8.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.3886350260408983,0.3062387474381636,0.1042849546319902,0.0928043584256006,"['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']","['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']"
49,249,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,9.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.4818609171449192,0.0978254150329728,0.2131168358520853,0.0823185274458195,"['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']",[]
50,10,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,0.0,wrist+wrist_depth,100,False,False,0.1837681081901945,0.1837681081901945,0.2276076686805973,0.2238071262653673,[],[]
51,11,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,1.0,wrist+wrist_depth,100,False,False,0.1925527752634853,0.1925527752634853,0.1769548419064011,0.1740247160055289,[],[]
52,12,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,2.0,wrist+wrist_depth,100,False,False,0.2161694548203798,0.2161694548203798,0.2052874178086372,0.186376505719615,[],[]
53,13,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,3.0,wrist+wrist_depth,100,False,False,0.1249316159973947,0.1249316159973947,0.1549341108019667,0.1506254107404948,[],[]
54,14,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,4.0,wrist+wrist_depth,100,False,False,0.1528139186740194,0.1528139186740194,0.2825263445949693,0.2554249205092723,[],[]
