epoch,minibatch_size,learning_rate,demo_count,task_name,final_dists,has_reached,final_dist_avg
1000,32,0.0001,1,ReachObs_RandomStatic,"[0.42984564 0.78541535 0.27427312 0.6946336  0.07940984 0.30333277 0.12957086 0.16324005 1.1924044  0.08736691]",[False False False False  True False False False False  True],0.413949254
1000,32,0.0001,5,ReachObs_RandomStatic,"[0.47255739 0.06358586 0.04426109 0.72501441 0.53255415 0.29601323 0.09202729 0.27529807 0.32839458 0.07248842]",[False False False False False False  True False False False],0.2902194489999999
1000,32,0.0001,10,ReachObs_RandomStatic,"[0.07523145 0.74002865 0.5061337  0.8742037  0.68302565 0.95764924 0.61517199 0.61253016 0.80843385 0.07099641]",[False  True False False False False False False False False  True],0.5943404800000001
1000,64,0.005,1,ReachObs_RandomStatic,"[0.79334407 0.28452851 0.10276655 0.29790029 0.77962082 0.33556558 0.99442391 0.84440851 0.29045352 0.35889128]",[False False False False False False False False False False],0.508190304
1000,64,0.005,5,ReachObs_RandomStatic,"[0.28083804 0.28384024 0.37053665 0.38563481 0.36334774 0.09452593 0.69047184 0.40818358 0.36673475 0.29262776]",[False False False False False  True False False False False],0.353674134
1000,64,0.005,10,ReachObs_RandomStatic,"[0.35511036 0.37505714 0.09099183 0.35843277 0.35640744 0.35796322 0.35605193 0.3607223  0.4752392  0.3558283 ]",[False False False False False False False False False False],0.344180449
1000,64,0.001,1,ReachObs_RandomStatic,"[0.71493157 0.07442806 0.12737943 0.64591339 0.70436258 0.0860803 0.38352623 0.68733672 0.41112948 0.17255915]",[False  True False False False  True False False False False],0.400764691
1000,64,0.001,5,ReachObs_RandomStatic,"[0.07106457 0.09234952 0.37750962 0.40066418 0.61145291 0.57338571 0.0939245  0.38800694 0.53532037 0.58533327]",[False  True  True False False False False  True False False False],0.372901159
1000,64,0.001,10,ReachObs_RandomStatic,"[0.27658389 0.09117211 0.52958127 0.14931461 0.38837667 0.83550869 0.11121474 0.49327359 0.31702255 0.41252052]",[False False False False False False  True False False False],0.360456864
1000,64,0.0001,1,ReachObs_RandomStatic,"[0.43252092 0.48103515 0.46159802 0.71600105 0.4270071  0.37610451 0.47798241 0.49443256 0.58136818 0.20705027]",[False False False False False False False False False False],0.465510017
1000,64,0.0001,5,ReachObs_RandomStatic,"[0.41003198 0.11302398 0.64922763 0.07913319 0.43811151 0.629434 0.44601802 0.49840357 0.30773859 0.44445999]",[False  True False  True False False False False False False],0.401558246
1000,64,0.0001,10,ReachObs_RandomStatic,"[0.78634938 0.4596793  0.40297383 0.55448324 0.67756145 0.54085047 0.69255639 0.52179038 0.57630415 0.45012039]",[False False False False False False False False False False],0.5662668980000001
