,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type,mbsize
44,ReachObs_Random,r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3219945650671137,0.3276628618829671,obs,100
45,ReachObs_Random,r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",7,0.16861614591387636,0.21129786741073406,obs,40
46,ReachObs_Random,r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.225339620012531,0.2738939388405593,obs,64
47,ReachObs_Random,r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.28187063851499927,0.33819876129039456,obs,100
48,ReachObs_Random,r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.26069543810864304,0.3807150955573161,obs,40
49,ReachObs_Random,r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.10968307438698441,0.10971445603214906,obs,64
50,ReachObs_Random,r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.17133038092927666,0.22752055712325142,obs,100
51,ReachObs_Random,r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.25343868384054846,0.3277772924030424,obs,40
52,ReachObs_Random,r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.1670792361945571,0.2287840148389387,obs,64
53,ReachObs_Random,r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.21750888829818163,0.2697296623152615,obs,100
54,ReachObs_Random,wrist+l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4302828634508177,0.5545935821759784,obs,40
55,ReachObs_Random,wrist+l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.28616087065008095,0.43425550812224756,obs,64
56,ReachObs_Random,wrist+l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.5615202251726521,0.8497466477704674,obs,100
57,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3640476237991939,0.5640941425786676,obs,40
58,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.1707754328697208,0.24841099528837232,obs,64
59,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.28425346508964033,0.49908268423339164,obs,100
60,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.20550343042551403,0.2840072205135672,obs,40
61,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.3691968050722313,0.5513331056986513,obs,64
62,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.34337753669279464,0.5685448136112659,obs,100
63,ReachObs_Random,wrist+l_shoulder+r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.29582622224829397,0.4708219214825859,obs,40
64,ReachObs_Random,wrist+l_shoulder+r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",9,0.1335962590307853,0.13998161642296744,obs,64
