,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance,agent
72,72.0,4,3790,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1564075821961287,0.0969043005400519,0.1871666041142137,0.2522947685826581,
73,73.0,9,3790,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.1930720342447554,0.1419287737093145,0.1426897855313395,0.2386336614771614,
74,74.0,14,3790,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.1314117950359727,0.098346829886703,0.1700876490181461,0.2056701679766966,
75,75.0,19,3790,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,1.0,0.0,0.1499223099666319,0.1072596985870201,0.1444237812885535,0.1991760306680886,
76,76.0,1,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.2856463307488511,0.1801994539440842,0.1670633374172449,0.2774977036715867,
77,77.0,2,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,100,0.0,0.0,0.228055821696917,0.2199161601111069,0.2039830800850896,0.2111423668783763,
78,78.0,3,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0.0,0.0,0.2331969518036017,0.2275840884114432,0.2126879157556934,0.2175439847711441,
79,79.0,4,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.2337099916090837,0.2283561489556638,0.2129426310090839,0.2176542753034038,
80,80.0,6,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2301957805195796,0.2235255489647974,0.2088544180951682,0.2142976390286087,
81,81.0,7,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,200,0.0,0.0,0.2324122129800497,0.22671360104772,0.2120352738995678,0.2172782005132876,
