67,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
46,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.3884072030899915,0.10603006712833923,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
47,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.22251550725319105,0.160449804064315,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
48,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.2681670509667131,0.08309117248622669,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
49,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.36900939205817457,0.07338669453664867,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
50,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.23880690101193114,0.1827726887651356,98,[]
51,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.07946682468505098,0.07946682468505098,98,[]
52,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.35370088477328043,0.136693780089646,98,[]
53,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,True,0.0939186856183198,0.0939186856183198,98,['outputs/run-grasp-with-agent/_May26_10-55']
54,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.4831943374616946,0.14842037599840385,98,[]
55,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.1258769643821723,0.11915822336290978,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
