,Unnamed: 0,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
108,16,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,400,3.0,0.0,0.1806390238424713,0.1329340865224056,0.1239393298907144,0.2845448530207417
109,21,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,500,5.0,0.0,0.1739275336387934,0.1739124776459143,0.1403983463136929,0.2081626266517605
110,26,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,1000,0.0,0.0,0.1995564798618041,0.1845573923549955,0.1265990509009636,0.2025668032676571
111,31,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,2000,0.0,0.0,0.2100139519721731,0.1535075076432561,0.1187246500398932,0.2213097826357912
112,0,1,FuseConfig.WDLR,False,Vision_Random,wrist,100,0.0,0.0,0.1537965892384038,0.1297318079797422,0.1316926273162786,0.2259373692450516
113,1,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1715809012549371,0.1502736944850121,0.1261880740965429,0.2474485707548595
114,2,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,100,1.0,0.0,0.2019156739449819,0.1955388198207886,0.2718862773809331,0.4524472248679863
115,3,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,2.0,0.0,0.1296941255308988,0.112226288582238,0.1912107278988439,0.3139071663402166
116,4,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1584049142993888,0.125903737022667,0.132253727628855,0.2764235862671128
117,5,1,FuseConfig.WDLR,False,Vision_Random,wrist,150,0.0,0.0,0.1605030497525405,0.1270509590957846,0.1311777085528545,0.1927910209998055
118,6,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,150,0.0,0.0,0.1214666382862717,0.099017201366962,0.1255207099202395,0.206592301380828
119,7,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,150,1.0,0.0,0.2009535332185511,0.1748020397422324,0.1438127466152785,0.1918637639111271
120,8,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,150,1.0,0.0,0.1365263647407937,0.114171364225942,0.1180608385208168,0.2061107406267615
121,9,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,1.0,0.0,0.1424206025926248,0.1041509889180013,0.1219187971691697,0.1941230510747438
122,10,1,FuseConfig.WDLR,False,Vision_Random,wrist,200,0.0,0.0,0.1462789444934353,0.0970377898877414,0.1266255744827957,0.2178908570824592
123,11,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.103772623415462,0.0831675570979134,0.1214904268275095,0.2521736526182195
124,12,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,200,1.0,0.0,0.1858993246152998,0.1679847672051219,0.1846175652528642,0.236645629496159
125,13,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,1.0,0.0,0.147575071462941,0.097038264306312,0.1261818448290815,0.2019478316246734
126,14,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.2483815539924339,0.1018379554840971,0.1492462373773134,0.3487319282620998
127,15,1,FuseConfig.WDLR,False,Vision_Random,wrist,400,0.0,0.0,0.1628724224992679,0.1217143248177616,0.130298171059173,0.2265211869398666
128,16,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.13009869009832,0.1243877462372381,0.124972993903198,0.1985099271876719
129,17,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,400,2.0,0.0,0.1406587342100146,0.1343810587119073,0.200702435108926,0.2690019076313268
130,18,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,6.0,0.0,0.1109098386107974,0.0925279136369779,0.1139013186751835,0.1873435011888911
131,19,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.1371731425798289,0.1177510665514094,0.1264595048100961,0.2148820362067671
132,20,1,FuseConfig.WDLR,False,Vision_Random,wrist,500,1.0,0.0,0.1726544984155797,0.1063752643594197,0.1335187262011629,0.2346633493704645
133,21,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,500,0.0,0.0,0.1220599154220576,0.1058953690680684,0.1179645305635568,0.2091675134974199
134,22,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,500,2.0,0.0,0.1689514151954534,0.1513526495287857,0.1400715298533631,0.1812386008719179
135,23,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,500,1.0,0.0,0.1558957634067484,0.1155308977375994,0.1208345156496829,0.2078732749967546
136,24,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,0.0,0.0,0.1260372352600986,0.107868011452385,0.1201516635031002,0.1841986105323937
137,25,1,FuseConfig.WDLR,False,Vision_Random,wrist,1000,0.0,0.0,0.1807876398787731,0.1008112050128741,0.1274094653226432,0.2143743631240461
138,26,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,1000,0.0,0.0,0.0980245004735796,0.093237442125856,0.1229862855833442,0.2225360158449335
139,27,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,1000,2.0,1.0,0.1219793655749883,0.1199433101389877,0.158518761941744,0.2166475335013039
140,28,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,1000,4.0,0.0,0.1339252836719338,0.1143267646004593,0.1287572215781249,0.2688200803956079
141,29,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,2.0,0.0,0.1063389003989388,0.0865291301127137,0.1172933871455045,0.2327358525054072
142,30,1,FuseConfig.WDLR,False,Vision_Random,wrist,2000,4.0,0.0,0.2455059611284458,0.1249575875384727,0.1290717471151567,0.2332952853442725
143,31,1,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,2000,4.0,0.0,0.1278162470019204,0.123320323104805,0.1196558164413017,0.2244039349637578
144,32,1,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,2000,0.0,0.0,0.1730684901706951,0.1494788476470443,0.161908174817816,0.2331675631453182
145,33,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,2000,3.0,0.0,0.1437645658496212,0.0836488673332226,0.1219003639539706,0.2879602058634848
146,34,1,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,1.0,0.0,0.1451160655053182,0.0984298570138715,0.1396649775643936,0.2694662712384208
147,1,1,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1497672378429812,0.1468823828696985,0.1436364588072242,0.1473401721548135
