,task_name,epochs,cam_type,repeat_idx,demo_count,control_done,min_distance,final_distance,dataset_type,grasp_loss_lambda,control_gripper_image_paths
140,Vision_Static,100,l_shoulder+r_shoulder,0,1,False,0.1239514808471276,0.1239514808471276,demo,1.2,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
141,Vision_Static,100,l_shoulder+r_shoulder,1,1,True,0.12028813722072375,0.12028813722072375,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-33']
142,Vision_Static,100,l_shoulder+r_shoulder,2,1,True,0.11520073970308067,0.11520073970308067,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-34']
143,Vision_Static,100,l_shoulder+r_shoulder,3,1,True,0.12434401328017897,0.12523922181885366,demo,1.2,"['outputs/run-grasp-with-agent/_June03_11-34', 'outputs/run-grasp-with-agent/_June03_11-34']"
144,Vision_Static,100,l_shoulder+r_shoulder,4,1,True,0.12238920617560392,0.12344055611796988,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-34']
145,Vision_Static,100,l_shoulder+r_shoulder,5,1,True,0.11604381281299209,0.11604381281299209,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-34']
146,Vision_Static,100,l_shoulder+r_shoulder,6,1,True,0.11118408254477195,0.11118408254477195,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-34']
147,Vision_Static,100,l_shoulder+r_shoulder,7,1,False,0.12023202885546908,0.12023202885546908,demo,1.2,[]
148,Vision_Static,100,l_shoulder+r_shoulder,8,1,True,0.1168635202507881,0.1168635202507881,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-34']
149,Vision_Static,100,l_shoulder+r_shoulder,9,1,True,0.11459369665461232,0.11459369665461232,demo,1.2,['outputs/run-grasp-with-agent/_June03_11-34']
150,Vision_Static,100,wrist+l_shoulder+r_shoulder,0,1,False,0.127189203516487,0.13048577028009176,demo,0.8,[]
151,Vision_Static,100,wrist+l_shoulder+r_shoulder,1,1,False,0.08661516856033578,0.08669134272569022,demo,0.8,[]
152,Vision_Static,100,wrist+l_shoulder+r_shoulder,2,1,False,0.13084380310278645,0.14162414144033678,demo,0.8,[]
