,task_name,epochs,cam_type,demo_count,done_count,avg_min_distance,avg_final_distance,dataset_type,grasp_loss_lambda
123,Vision_Static,200,wrist+l_shoulder+r_shoulder,1,0,0.06994304473728452,0.08214431004303714,demo,1.1
124,Vision_Static,200,wrist+l_shoulder+r_shoulder,1,0,0.09500421202972871,0.15811828004381426,demo,1.2
125,Vision_Static,200,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.0898471072294565,0.09210125287804481,demo,0.8
126,Vision_Static,200,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.08626606002015122,0.08705553561776752,demo,0.9
127,Vision_Static,200,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.09095272207128105,0.09515532447582162,demo,1.0
128,Vision_Static,200,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.09517851710259483,0.10829067586730164,demo,1.1
129,Vision_Static,200,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.09340624763745528,0.10232175345884724,demo,1.2
130,Vision_Static,200,wrist+r_shoulder,1,0,0.12387122157377237,0.14643107859072607,demo,0.8
131,Vision_Static,200,wrist+r_shoulder,1,0,0.15102479948365227,0.1693957206407837,demo,0.9
132,Vision_Static,200,wrist+r_shoulder,1,0,0.1195544561226902,0.15081651836682125,demo,1.0
133,Vision_Static,200,wrist+r_shoulder,1,0,0.16022383051301378,0.17834164826754656,demo,1.1
134,Vision_Static,200,wrist+r_shoulder,1,0,0.1384984718695411,0.15958472249843153,demo,1.2
135,Vision_Static,200,wrist+l_shoulder,1,0,0.12849881073734648,0.13003176867966498,demo,0.8
136,Vision_Static,200,wrist+l_shoulder,1,0,0.16337300810498326,0.16337300810498326,demo,0.9
137,Vision_Static,200,wrist+l_shoulder,1,0,0.13535933783971596,0.13542559584359165,demo,1.0
138,Vision_Static,200,wrist+l_shoulder,1,0,0.12974350505600282,0.13050272587342046,demo,1.1
139,Vision_Static,200,wrist+l_shoulder,1,0,0.12061097118417174,0.12193723661482403,demo,1.2
140,Vision_Static,400,wrist,1,0,0.24652521564594942,0.2465622990817471,demo,0.8
141,Vision_Static,400,wrist,1,0,0.23461272087143917,0.23468201699013064,demo,0.9
142,Vision_Static,400,wrist,1,0,0.2379431335737606,0.23796025000823673,demo,1.0
143,Vision_Static,400,wrist,1,0,0.26416166092874477,0.26417106417797914,demo,1.1
144,Vision_Static,400,wrist,1,0,0.2420860917626355,0.2423001030808407,demo,1.2
145,Vision_Static,400,wrist+wrist_depth,1,2,0.21925780366900707,0.22239457057031106,demo,0.8
146,Vision_Static,400,wrist+wrist_depth,1,0,0.14497522781091784,0.1455676950259715,demo,0.9
147,Vision_Static,400,wrist+wrist_depth,1,1,0.19883778106219618,0.19994504139907326,demo,1.0
148,Vision_Static,400,wrist+wrist_depth,1,0,0.20597928603696491,0.20978544800470839,demo,1.1
149,Vision_Static,400,wrist+wrist_depth,1,0,0.2712852696884499,0.2713226631861485,demo,1.2
150,Vision_Static,400,l_shoulder+r_shoulder,1,7,0.12289932393112117,0.12432375027143291,demo,0.8
151,Vision_Static,400,l_shoulder+r_shoulder,1,10,0.1134144471815084,0.11364607626783241,demo,0.9
152,Vision_Static,400,l_shoulder+r_shoulder,1,6,0.11915623685753766,0.11930168936302357,demo,1.0
153,Vision_Static,400,l_shoulder+r_shoulder,1,8,0.10692497202026308,0.10807606172610804,demo,1.1
154,Vision_Static,400,l_shoulder+r_shoulder,1,9,0.11933283642710384,0.1194194535631699,demo,1.2
155,Vision_Static,400,wrist+l_shoulder+r_shoulder,1,0,0.12917930865734203,0.13034246815864564,demo,0.8
156,Vision_Static,400,wrist+l_shoulder+r_shoulder,1,1,0.12632947391674704,0.12705280936618663,demo,0.9
157,Vision_Static,400,wrist+l_shoulder+r_shoulder,1,0,0.12896237594062895,0.1292574148133902,demo,1.0
158,Vision_Static,400,wrist+l_shoulder+r_shoulder,1,0,0.12868319153961655,0.1289121783628605,demo,1.1
159,Vision_Static,400,wrist+l_shoulder+r_shoulder,1,1,0.12504222738591722,0.1251147286169989,demo,1.2
160,Vision_Static,400,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.12377030935796518,0.12491897608550095,demo,0.8
161,Vision_Static,400,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13241539608677097,0.13438379463002156,demo,0.9
162,Vision_Static,400,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13416576060389174,0.13662921998266447,demo,1.0
163,Vision_Static,400,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.1325020706553946,0.13505983540964644,demo,1.1
164,Vision_Static,400,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13234314540354056,0.13588908530807403,demo,1.2
165,Vision_Static,400,wrist+r_shoulder,1,0,0.08198183371837436,0.10176792047725738,demo,0.8
166,Vision_Static,400,wrist+r_shoulder,1,6,0.08831769979474641,0.0921265736700304,demo,0.9
167,Vision_Static,400,wrist+r_shoulder,1,0,0.0847205093258624,0.10850825452314479,demo,1.0
